                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.266,                 2.9398,                 1.5085,                0.00874,                      1,                0.64893,                0.51389,                0.53645,                 2.9206,                0.97005,                    0.1,                      0,                      0
                      1,                 1.0297,                 2.8901,                 1.2831,                0.00846,                      1,                0.71743,                0.56291,                0.54459,                 2.9087,                0.97433,               0.099098,              9.802e-05,              9.802e-05
                      2,                 1.1788,                 2.8483,                 1.3389,                0.00827,                      1,                0.71743,                0.55743,                0.54085,                 2.9029,                0.96495,               0.098192,             0.00019208,             0.00019208
                      3,                0.94766,                 2.9007,                 1.2492,                0.00803,                      1,                0.78726,                 0.6122,                0.52922,                 2.8958,                0.96618,               0.097282,             0.00028218,             0.00028218
                      4,                0.73467,                 2.7468,                 1.1201,                0.00776,                      1,                0.83726,                 0.6757,                0.50296,                 2.8792,                0.96107,               0.096368,             0.00036832,             0.00036832
                      5,                0.80372,                  2.756,                 1.1703,                 0.0076,                      1,                 0.8581,                0.67927,                0.45777,                 2.8705,                0.95506,               0.095451,              0.0004505,              0.0004505
                      6,                0.61452,                 2.7137,                 1.0344,                0.00749,                      1,                0.86851,                0.68509,                0.39428,                 2.8505,                 0.9685,               0.094529,             0.00052872,             0.00052872
                      7,                0.53006,                 2.6463,                 1.0224,                0.00739,                      1,                0.89143,                0.75836,                0.31214,                 2.8422,                0.95399,               0.093603,             0.00060298,             0.00060298
                      8,                0.38926,                 2.6376,                 1.0319,                 0.0072,                      1,                0.89143,                0.76423,                0.22429,                  2.841,                0.94026,               0.092673,             0.00067328,             0.00067328
                      9,                0.36876,                 2.5381,                0.95634,                0.00695,                      1,                 0.9325,                0.73121,                0.18146,                 2.7756,                0.89963,                0.09174,             0.00073962,             0.00073962
                     10,                0.35406,                 2.5224,                0.91791,                 0.0068,                      1,                0.94143,                0.75754,                0.18727,                 2.7539,                0.89426,               0.090802,               0.000802,               0.000802
                     11,                0.32173,                 2.5361,                0.96218,                0.00671,                      1,                   0.97,                0.86355,                0.20335,                 2.7108,                0.87648,                0.08986,             0.00086042,             0.00086042
                     12,                0.30435,                 2.3894,                0.91998,                0.00667,                      1,                  0.995,                0.89832,                0.19218,                 2.7042,                0.84778,               0.088915,             0.00091488,             0.00091488
                     13,                 0.2499,                 2.2552,                 0.9193,                0.00668,                      1,                  0.995,                 0.9233,                0.17536,                 2.6499,                0.83046,               0.087965,             0.00096538,             0.00096538
                     14,                0.33852,                 2.2082,                 1.0243,                 0.0067,                      1,                  0.995,                 0.9233,                 0.1762,                 2.6027,                0.85988,               0.087012,              0.0010119,              0.0010119
                     15,                0.33779,                 2.2009,                0.89075,                0.00675,                      1,                  0.995,                 0.9233,                0.19318,                 2.5397,                0.86575,               0.086055,              0.0010545,              0.0010545
                     16,                0.30364,                 2.1766,                0.94348,                0.00681,                      1,                  0.995,                0.94202,                0.19508,                 2.4747,                 0.8561,               0.085093,              0.0010931,              0.0010931
                     17,                  0.348,                 2.0555,                0.88707,                0.00681,                      1,                  0.995,                0.94202,                0.19508,                 2.4747,                 0.8561,               0.084128,              0.0011278,              0.0011278
                     18,                 0.2351,                 2.0216,                0.89484,                0.00689,                      1,                  0.995,                  0.995,                  0.197,                 2.3749,                0.83381,               0.083158,              0.0011585,              0.0011585
                     19,                0.34514,                 2.0211,                0.96557,                0.00689,                      1,                  0.995,                  0.995,                  0.197,                 2.3749,                0.83381,               0.082185,              0.0011852,              0.0011852
                     20,                0.19298,                 1.8065,                0.88234,                0.00692,                      1,                  0.995,                  0.995,                0.18058,                 2.3062,                0.80269,               0.081208,               0.001208,               0.001208
                     21,                0.21115,                 1.6792,                0.85433,                0.00692,                      1,                  0.995,                  0.995,                0.18058,                 2.3062,                0.80269,               0.080227,              0.0012268,              0.0012268
                     22,                0.28012,                 1.8884,                0.88293,                0.00706,                      1,                  0.995,                 0.9794,                0.21571,                 2.2298,                0.82075,               0.079242,              0.0012417,              0.0012417
                     23,                0.27154,                 1.7127,                0.87364,                0.00706,                      1,                  0.995,                 0.9794,                0.21571,                 2.2298,                0.82075,               0.078253,              0.0012526,              0.0012526
                     24,                0.23162,                 1.7205,                 0.8914,                 0.0071,                      1,                  0.995,                 0.9794,                0.21894,                 2.1646,                0.83729,                0.07726,              0.0012595,              0.0012595
                     25,                0.23313,                 1.5896,                0.91923,                 0.0071,                      1,                  0.995,                 0.9794,                0.21894,                 2.1646,                0.83729,               0.076263,              0.0012625,              0.0012625
                     26,                0.24087,                 1.6922,                0.84433,                0.01498,                      1,                  0.995,                  0.995,                0.20378,                 2.1357,                0.84544,               0.075262,              0.0012615,              0.0012615
                     27,                0.29808,                 1.6883,                 0.9663,                0.01498,                      1,                  0.995,                  0.995,                0.20378,                 2.1357,                0.84544,               0.074257,              0.0012566,              0.0012566
                     28,                 0.2805,                 1.6505,                0.92142,                0.01447,                      1,                  0.995,                  0.995,                  0.206,                 2.1305,                0.84124,               0.073248,              0.0012477,              0.0012477
                     29,                0.22555,                 1.5071,                0.90169,                0.01447,                      1,                  0.995,                  0.995,                  0.206,                 2.1305,                0.84124,               0.072235,              0.0012348,              0.0012348
                     30,                0.19144,                 1.4507,                0.89191,                 0.0071,                      1,                  0.995,                0.96076,                0.21221,                 2.1423,                0.83581,               0.071218,               0.001218,               0.001218
                     31,                0.29168,                 1.5277,                0.88024,                 0.0071,                      1,                  0.995,                0.96076,                0.21221,                 2.1423,                0.83581,               0.070197,              0.0011972,              0.0011972
                     32,                0.25132,                 1.4222,                 0.8746,                0.00712,                      1,                  0.995,                0.95768,                0.21138,                 2.1281,                0.84067,               0.069172,              0.0011725,              0.0011725
                     33,                0.24878,                 1.3364,                0.84377,                0.00712,                      1,                  0.995,                0.95768,                0.21138,                 2.1281,                0.84067,               0.068144,              0.0011438,              0.0011438
                     34,                0.21449,                 1.4203,                0.86079,                0.00715,                      1,                  0.995,                0.95763,                0.20946,                 2.1153,                0.83656,               0.067111,              0.0011111,              0.0011111
                     35,                0.23995,                 1.4216,                0.89356,                0.00715,                      1,                  0.995,                0.95763,                0.20946,                 2.1153,                0.83656,               0.066075,              0.0010745,              0.0010745
                     36,                0.30064,                 1.4467,                0.92423,                 0.0134,                      1,                  0.995,                0.97323,                0.19579,                 2.0886,                0.82996,               0.065034,              0.0010339,              0.0010339
                     37,                0.19046,                 1.3575,                0.84753,                 0.0134,                      1,                  0.995,                0.97323,                0.19579,                 2.0886,                0.82996,               0.063989,             0.00098938,             0.00098938
                     38,                0.23178,                  1.352,                0.83926,                0.01333,                      1,                  0.995,                0.97323,                0.17865,                 2.0662,                0.83124,               0.062941,             0.00094088,             0.00094088
                     39,                0.29491,                 1.4528,                0.90376,                0.01333,                      1,                  0.995,                0.97323,                0.17865,                 2.0662,                0.83124,               0.061888,             0.00088842,             0.00088842
                     40,                0.22455,                 1.3163,                0.87109,                0.44157,                      1,                  0.995,                  0.995,                0.17334,                 2.0212,                0.81907,               0.060832,               0.000832,               0.000832
                     41,                0.24661,                  1.421,                0.88266,                0.44157,                      1,                  0.995,                  0.995,                0.17334,                 2.0212,                0.81907,               0.059772,             0.00077162,             0.00077162
                     42,                0.19373,                 1.2569,                0.84682,                0.83886,                      1,                  0.995,                  0.995,                 0.1664,                  1.956,                0.82133,               0.058707,             0.00070728,             0.00070728
                     43,                0.22781,                 1.2476,                 0.8966,                0.83886,                      1,                  0.995,                  0.995,                 0.1664,                  1.956,                0.82133,               0.057639,             0.00063898,             0.00063898
                     44,                 0.2325,                 1.4146,                0.87051,                 0.8884,                      1,                  0.995,                0.97323,                0.16701,                 1.9089,                0.81767,               0.056567,             0.00056672,             0.00056672
                     45,                0.26497,                 1.2816,                0.87787,                 0.8884,                      1,                  0.995,                0.97323,                0.16701,                 1.9089,                0.81767,                0.05549,              0.0004905,              0.0004905
                     46,                0.25289,                 1.3261,                0.91447,                0.92738,                      1,                  0.995,                0.97323,                0.16295,                 1.8724,                0.81115,                0.05441,             0.00041032,             0.00041032
                     47,                0.19479,                 1.1911,                0.83367,                0.92738,                      1,                  0.995,                0.97323,                0.16295,                 1.8724,                0.81115,               0.053326,             0.00032618,             0.00032618
                     48,                 0.2379,                 1.2572,                0.86927,                0.94783,                0.86685,                  0.995,                  0.995,                0.16031,                 1.8453,                0.80961,               0.052238,             0.00023808,             0.00023808
                     49,                0.20232,                 1.2437,                0.88883,                0.94783,                0.86685,                  0.995,                  0.995,                0.16031,                 1.8453,                0.80961,               0.051146,             0.00014602,             0.00014602
